state,date,total_patients_hospitalized_confirmed_influenza
AZ,2023-10-01,14.0
AZ,2023-10-02,9.0
AZ,2023-10-03,6.0
AZ,2023-10-04,6.0
AZ,2023-10-05,6.0
AZ,2023-10-06,7.0
AZ,2023-10-07,5.0
AZ,2023-10-08,7.0
AZ,2023-10-09,7.0
AZ,2023-10-10,8.0
AZ,2023-10-11,7.0
AZ,2023-10-12,9.0
AZ,2023-10-13,10.0
AZ,2023-10-14,14.0
AZ,2023-10-15,15.0
AZ,2023-10-16,21.0
AZ,2023-10-17,22.0
AZ,2023-10-18,18.0
AZ,2023-10-19,22.0
AZ,2023-10-20,24.0
AZ,2023-10-21,27.0
AZ,2023-10-22,32.0
AZ,2023-10-23,37.0
AZ,2023-10-24,26.0
AZ,2023-10-25,24.0
AZ,2023-10-26,23.0
AZ,2023-10-27,22.0
AZ,2023-10-28,21.0
AZ,2023-10-29,22.0
AZ,2023-10-30,24.0
AZ,2023-10-31,28.0
AZ,2023-11-01,23.0
AZ,2023-11-02,24.0
AZ,2023-11-03,26.0
AZ,2023-11-04,33.0
AZ,2023-11-05,38.0
AZ,2023-11-06,42.0
AZ,2023-11-07,50.0
AZ,2023-11-08,55.0
AZ,2023-11-09,63.0
AZ,2023-11-10,57.0
AZ,2023-11-11,73.0
AZ,2023-11-12,75.0
AZ,2023-11-13,71.0
AZ,2023-11-14,73.0
AZ,2023-11-15,95.0
AZ,2023-11-16,94.0
AZ,2023-11-17,101.0
AZ,2023-11-18,101.0
AZ,2023-11-19,97.0
AZ,2023-11-20,108.0
AZ,2023-11-21,108.0
AZ,2023-11-22,116.0
AZ,2023-11-23,95.0
AZ,2023-11-24,112.0
AZ,2023-11-25,113.0
AZ,2023-11-26,123.0
AZ,2023-11-27,135.0
AZ,2023-11-28,139.0
AZ,2023-11-29,133.0
AZ,2023-11-30,110.0
AZ,2023-12-01,114.0
AZ,2023-12-02,132.0
AZ,2023-12-03,151.0
AZ,2023-12-04,171.0
AZ,2023-12-05,176.0
AZ,2023-12-06,176.0
AZ,2023-12-07,178.0
AZ,2023-12-08,171.0
AZ,2023-12-09,193.0
AZ,2023-12-10,198.0
AZ,2023-12-11,231.0
AZ,2023-12-12,232.0
AZ,2023-12-13,243.0
AZ,2023-12-14,247.0
AZ,2023-12-15,263.0
AZ,2023-12-16,297.0
AZ,2023-12-17,314.0
AZ,2023-12-18,352.0
AZ,2023-12-19,397.0
AZ,2023-12-20,371.0
AZ,2023-12-21,400.0
AZ,2023-12-22,452.0
AZ,2023-12-23,473.0
AZ,2023-12-24,527.0
AZ,2023-12-25,549.0
AZ,2023-12-26,623.0
AZ,2023-12-27,587.0
AZ,2023-12-28,590.0
AZ,2023-12-29,583.0
AZ,2023-12-30,576.0
AZ,2023-12-31,599.0
AZ,2024-01-01,551.0
AZ,2024-01-02,577.0
AZ,2024-01-03,557.0
AZ,2024-01-04,573.0
AZ,2024-01-05,548.0
AZ,2024-01-06,490.0
AZ,2024-01-07,491.0
AZ,2024-01-08,526.0
AZ,2024-01-09,519.0
AZ,2024-01-10,467.0
AZ,2024-01-11,470.0
AZ,2024-01-12,451.0
AZ,2024-01-13,429.0
AZ,2024-01-14,430.0
AZ,2024-01-15,444.0
AZ,2024-01-16,444.0
AZ,2024-01-17,423.0
AZ,2024-01-18,393.0
AZ,2024-01-19,385.0
AZ,2024-01-20,350.0
AZ,2024-01-21,369.0
AZ,2024-01-22,401.0
AZ,2024-01-23,391.0
AZ,2024-01-24,384.0
AZ,2024-01-25,379.0
AZ,2024-01-26,345.0
AZ,2024-01-27,327.0
AZ,2024-01-28,297.0
AZ,2024-01-29,277.0
AZ,2024-01-30,276.0
AZ,2024-01-31,262.0
AZ,2024-02-01,241.0
AZ,2024-02-02,210.0
AZ,2024-02-03,191.0
AZ,2024-02-04,187.0
AZ,2024-02-05,177.0
AZ,2024-02-06,177.0
AZ,2024-02-07,154.0
AZ,2024-02-08,152.0
AZ,2024-02-09,141.0
AZ,2024-02-10,133.0
AZ,2024-02-11,132.0
AZ,2024-02-12,124.0
AZ,2024-02-13,119.0
AZ,2024-02-14,122.0
AZ,2024-02-15,113.0
AZ,2024-02-16,116.0
AZ,2024-02-17,104.0
AZ,2024-02-18,103.0
AZ,2024-02-19,114.0
AZ,2024-02-20,118.0
AZ,2024-02-21,120.0
AZ,2024-02-22,119.0
AZ,2024-02-23,111.0
AZ,2024-02-24,108.0
AZ,2024-02-25,110.0
AZ,2024-02-26,106.0
AZ,2024-02-27,100.0
AZ,2024-02-28,100.0
AZ,2024-02-29,106.0
AZ,2024-03-01,115.0
AZ,2024-03-02,108.0
AZ,2024-03-03,100.0
AZ,2024-03-04,43.0
AZ,2024-03-05,101.0
AZ,2024-03-06,98.0
AZ,2024-03-07,106.0
AZ,2024-03-08,93.0
AZ,2024-03-09,86.0
AZ,2024-03-10,93.0
AZ,2024-03-11,93.0
AZ,2024-03-12,88.0
